time, height, speed, acceleration, user_data
0.000000, 0.000000, 0.000000, 0.000000, 1.000000
0.010000, 0.000000, 0.000000, 0.000000, 1.000000
0.020000, 0.000000, 0.000000, 13.000000, 1.000000
0.030000, 0.000159, 0.031900, 13.000000, 1.000000
0.040000, 0.000638, 0.063800, 13.000000, 1.000000
0.050000, 0.001435, 0.095700, 13.000000, 1.000000
0.060000, 0.002552, 0.127600, 13.000000, 1.000000
0.070000, 0.003987, 0.159500, 13.000000, 1.000000
0.080000, 0.005742, 0.191400, 13.000000, 1.000000
0.090000, 0.007815, 0.223300, 13.000000, 1.000000
0.100000, 0.010208, 0.255200, 13.000000, 1.000000
0.110000, 0.012919, 0.287100, 13.000000, 1.000000
0.120000, 0.015950, 0.319000, 13.000000, 1.000000
0.130000, 0.019299, 0.350900, 13.000000, 1.000000
0.140000, 0.022968, 0.382800, 13.000000, 1.000000
0.150000, 0.026955, 0.414700, 13.000000, 1.000000
0.160000, 0.031262, 0.446600, 13.000000, 1.000000
0.170000, 0.035887, 0.478500, 13.000000, 1.000000
0.180000, 0.040832, 0.510400, 13.000000, 1.000000
0.190000, 0.046095, 0.542300, 13.000000, 1.000000
0.200000, 0.051678, 0.574200, 13.000000, 1.000000
0.210000, 0.057579, 0.606100, 13.000000, 1.000000
0.220000, 0.063800, 0.638000, 13.000000, 1.000000
0.230000, 0.070339, 0.669900, 13.000000, 1.000000
0.240000, 0.077198, 0.701800, 13.000000, 1.000000
0.250000, 0.084375, 0.733700, 13.000000, 1.000000
0.260000, 0.091872, 0.765600, 13.000000, 1.000000
0.270000, 0.099687, 0.797500, 13.000000, 1.000000
0.280000, 0.107822, 0.829400, 12.674669, 1.000000
0.290000, 0.116259, 0.858046, 12.674669, 1.000000
0.300000, 0.124983, 0.886693, 12.217552, 1.000000
0.310000, 0.133970, 0.910769, 12.217552, 1.000000
0.320000, 0.143198, 0.934844, 11.793531, 1.000000
0.330000, 0.152646, 0.954679, 11.793531, 1.000000
0.340000, 0.162292, 0.974515, 11.409183, 1.000000
0.350000, 0.172117, 0.990507, 11.409183, 1.000000
0.360000, 0.182102, 1.006498, 11.062004, 1.000000
0.370000, 0.192230, 1.019019, 11.062004, 1.000000
0.380000, 0.202482, 1.031539, 10.749004, 1.000000
0.390000, 0.212845, 1.040929, 10.749004, 1.000000
0.400000, 0.223301, 1.050319, 10.467508, 1.000000
0.410000, 0.233837, 1.056894, 10.467508, 1.000000
0.420000, 0.244439, 1.063469, 10.214972, 1.000000
0.430000, 0.255094, 1.067518, 10.214972, 1.000000
0.440000, 0.265789, 1.071568, 9.989053, 1.000000
0.450000, 0.276514, 1.073359, 9.989053, 1.000000
0.460000, 0.287256, 1.075149, 9.787529, 1.000000
0.470000, 0.298007, 1.074924, 9.787529, 1.000000
0.480000, 0.308755, 1.074700, 9.608396, 1.000000
0.490000, 0.319492, 1.072684, 9.608396, 1.000000
0.500000, 0.330208, 1.070668, 9.449811, 1.000000
0.510000, 0.340897, 1.067066, 9.449811, 1.000000
0.520000, 0.351550, 1.063464, 9.309975, 1.000000
0.530000, 0.362159, 1.058464, 9.309975, 1.000000
0.540000, 0.372719, 1.053463, 9.187324, 1.000000
0.550000, 0.383223, 1.047237, 9.187324, 1.000000
